 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
 931.45105    0.642591E-07    0.142558E-05    0.212393E-03    0.201140E-01
 931.48871    0.729504E-07    0.156743E-05    0.233534E-03    0.204238E-01
 931.52255    0.827737E-07    0.172339E-05    0.256779E-03    0.207305E-01
 931.56630    0.939240E-07    0.189488E-05    0.282338E-03    0.210551E-01
 931.60107    0.106563E-06    0.208342E-05    0.310441E-03    0.213647E-01
 931.64498    0.120856E-06    0.229073E-05    0.341342E-03    0.216955E-01
 931.68665    0.137101E-06    0.251866E-05    0.375319E-03    0.220191E-01
 931.72745    0.155443E-06    0.276927E-05    0.412679E-03    0.223465E-01
 931.77753    0.176271E-06    0.304482E-05    0.453758E-03    0.226870E-01
 931.81757    0.199835E-06    0.334779E-05    0.498927E-03    0.230136E-01
 931.87043    0.226497E-06    0.368090E-05    0.548592E-03    0.233643E-01
 931.91622    0.256758E-06    0.404716E-05    0.603203E-03    0.237020E-01
 931.96569    0.290910E-06    0.444987E-05    0.663250E-03    0.240512E-01
 932.02193    0.329687E-06    0.489264E-05    0.729276E-03    0.244067E-01
 932.06877    0.373487E-06    0.537947E-05    0.801876E-03    0.247520E-01
 932.13133    0.423074E-06    0.591474E-05    0.881704E-03    0.251213E-01
 932.18184    0.479259E-06    0.650327E-05    0.969481E-03    0.254735E-01
 932.24180    0.542661E-06    0.715037E-05    0.106600E-02    0.258446E-01
 932.30394    0.614613E-06    0.786185E-05    0.117212E-02    0.262140E-01
 932.35948    0.695778E-06    0.864412E-05    0.128882E-02    0.265795E-01
 932.43177    0.787705E-06    0.950423E-05    0.141713E-02    0.269654E-01
 932.48837    0.891672E-06    0.104499E-04    0.155823E-02    0.273327E-01
 932.56062    0.100901E-05    0.114897E-04    0.171337E-02    0.277245E-01
 932.62842    0.114205E-05    0.126330E-04    0.188396E-02    0.281066E-01
 932.69488    0.129196E-05    0.138900E-04    0.207154E-02    0.284927E-01
 932.77652    0.146178E-05    0.152721E-04    0.227780E-02    0.288927E-01
 932.84109    0.165348E-05    0.167917E-04    0.250460E-02    0.292754E-01
 932.92712    0.186990E-05    0.184625E-04    0.275399E-02    0.296854E-01
 933.00064    0.211490E-05    0.202996E-04    0.302821E-02    0.300787E-01
 933.08048    0.239081E-05    0.223194E-04    0.332975E-02    0.304846E-01
 933.17089    0.270326E-05    0.245403E-04    0.366132E-02    0.308959E-01
 933.24569    0.305534E-05    0.269821E-04    0.402592E-02    0.312942E-01
 933.34619    0.345294E-05    0.296669E-04    0.442683E-02    0.317187E-01
 933.42621    0.390222E-05    0.326188E-04    0.486768E-02    0.321215E-01
 933.52192    0.440797E-05    0.358645E-04    0.535244E-02    0.325448E-01
 933.62029    0.498024E-05    0.394331E-04    0.588549E-02    0.329638E-01
 933.70802    0.562411E-05    0.433568E-04    0.647163E-02    0.333768E-01
 933.82240    0.635124E-05    0.476709E-04    0.711617E-02    0.338109E-01
 933.91089    0.717116E-05    0.524143E-04    0.782492E-02    0.342213E-01
 934.02470    0.809395E-05    0.576296E-04    0.860428E-02    0.346578E-01
 934.13026    0.913669E-05    0.633639E-04    0.946128E-02    0.350802E-01
 934.23389    0.103083E-04    0.696688E-04    0.104037E-01    0.355051E-01
 934.36092    0.116310E-04    0.766010E-04    0.114400E-01    0.359430E-01
 934.46040    0.131192E-04    0.842230E-04    0.125795E-01    0.363583E-01
 934.59379    0.147939E-04    0.926034E-04    0.138326E-01    0.368016E-01
 934.70617    0.166826E-04    0.101818E-03    0.152105E-01    0.372226E-01
 934.82876    0.188024E-04    0.111949E-03    0.167257E-01    0.376546E-01
 934.96673    0.211935E-04    0.123088E-03    0.183920E-01    0.380890E-01
 935.08007    0.238780E-04    0.135336E-03    0.202243E-01    0.385056E-01
 935.23298    0.268976E-04    0.148802E-03    0.222391E-01    0.389471E-01
 935.35284    0.302953E-04    0.163608E-03    0.244549E-01    0.393606E-01
 935.49716    0.341051E-04    0.179887E-03    0.268914E-01    0.397925E-01
 935.64396    0.383960E-04    0.197787E-03    0.295707E-01    0.402152E-01
 935.77433    0.432034E-04    0.217467E-03    0.325171E-01    0.406270E-01
 935.94448    0.486071E-04    0.239105E-03    0.357572E-01    0.410562E-01
 936.07408    0.546710E-04    0.262897E-03    0.393203E-01    0.414549E-01
 936.24204    0.614638E-04    0.289056E-03    0.432385E-01    0.418761E-01
 936.39549    0.690980E-04    0.317818E-03    0.475474E-01    0.422770E-01
 936.54605    0.776343E-04    0.349441E-03    0.522857E-01    0.426746E-01
 936.73006    0.872166E-04    0.384212E-03    0.574965E-01    0.430789E-01
 936.87203    0.979385E-04    0.422442E-03    0.632267E-01    0.434540E-01
 937.06380    0.109936E-03    0.464476E-03    0.695282E-01    0.438508E-01
 937.22223    0.123381E-03    0.510693E-03    0.764581E-01    0.442179E-01
 937.39567    0.138385E-03    0.561508E-03    0.840788E-01    0.445884E-01
 937.58926    0.155194E-03    0.617379E-03    0.924596E-01    0.449535E-01
 937.74623    0.173946E-03    0.678810E-03    0.101676E+00    0.452930E-01
 937.95923    0.194893E-03    0.746353E-03    0.111811E+00    0.456454E-01
 938.12222    0.218285E-03    0.820617E-03    0.122957E+00    0.459549E-01
